temperature,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,vcc,uptime,time
18.484051,0.02288818,-0.01525879,-0.01525879,-0.00097656,-0.02325439,1.02514648,61.29340363,357.87966919,359.29119873,2,34667789,1487057432
18.487045,-0.01525879,-0.07629395,0.02288818,-0.00183105,-0.02008057,1.01800537,61.29340363,357.87966919,359.29119873,2,34667821,1487057432
18.457094,-0.03814697,-0.02288818,-0.10681152,0.00000000,-0.02087402,1.02062988,61.29340363,357.87966919,359.29119873,2,34667850,1487057432
18.484051,0.00000000,-0.06103516,-0.01525879,-0.00048828,-0.02276611,1.02258301,61.29340363,357.87966919,359.29119873,2,34667880,1487057432
18.487045,-0.06866455,0.03814697,0.00762939,-0.00195312,-0.02172852,1.02014160,49.03472137,338.48718262,340.73626709,2,34667925,1487057432
18.490042,-0.08392334,-0.03051758,-0.06866455,-0.00006104,-0.02020264,1.02539062,49.03472137,338.48718262,340.73626709,2,34667971,1487057432
18.487045,0.03814697,-0.12969971,-0.02288818,0.00140381,-0.02185059,1.02105713,49.03472137,338.48718262,340.73626709,2,34668000,1487057432
18.490042,-0.15258789,-0.09918213,-0.05340576,0.00152588,-0.02044678,1.02301025,56.03968430,352.59082031,347.48352051,2,34668037,1487057433
18.496031,-0.06103516,0.06103516,0.03051758,-0.00177002,-0.02215576,1.02032471,56.03968430,352.59082031,347.48352051,2,34668067,1487057433
18.472071,-0.01525879,0.06103516,-0.04577637,-0.00195312,-0.02325439,1.01953125,56.03968430,352.59082031,347.48352051,2,34668096,1487057433
18.481056,-0.06866455,-0.01525879,0.02288818,-0.00146484,-0.02423096,1.02209473,56.03968430,352.59082031,347.48352051,2,34668125,1487057433
18.484051,-0.13732910,0.00762939,0.04577637,-0.00207520,-0.02099609,1.02447510,45.53224182,345.53900146,354.23077393,2,34668154,1487057433
18.484051,0.00000000,0.01525879,0.03814697,0.00024414,-0.02148438,1.02093506,45.53224182,345.53900146,354.23077393,2,34668184,1487057433
18.484051,-0.04577637,0.12969971,0.03814697,-0.00079346,-0.02124023,1.01995850,45.53224182,345.53900146,354.23077393,2,34668213,1487057433
18.478060,0.00762939,-0.04577637,-0.05340576,-0.00311279,-0.02038574,1.02044678,45.53224182,345.53900146,354.23077393,2,34668242,1487057433
18.469074,-0.07629395,0.00000000,0.00000000,0.00000000,-0.02105713,1.01849365,61.29340363,336.72421265,352.54394531,2,34668272,1487057433
18.487045,-0.02288818,-0.04577637,0.01525879,-0.00067139,-0.02050781,1.02081299,61.29340363,336.72421265,352.54394531,2,34668302,1487057433
18.475065,-0.00762939,-0.03051758,0.00000000,-0.00146484,-0.02233887,1.02154541,61.29340363,336.72421265,352.54394531,2,34668337,1487057433
